image1,image2,verified,distance,threshold,model,detector_backend,similarity_metric,facial_areas_img1,facial_areas_img2,time,error,image1_name,Path,Dataset name,Image name,Age,Gender,Race,Emotion,Backend,Notes
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\049A04.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\049A17.JPG,False,0.864017052,0.68,VGG-Face,opencv,cosine,,,,,049A04.JPG,FGNET/images/049A04.JPG,FGNET,049A04.JPG,26.0,Woman,white,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A22.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A41.JPG,True,0.572647031,0.68,VGG-Face,opencv,cosine,,,,,027A22.JPG,FGNET/images/027A22.JPG,FGNET,027A22.JPG,27.0,Man,middle eastern,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\012A04.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\012A36.JPG,False,0.846206304,0.68,VGG-Face,opencv,cosine,,,,,012A04.JPG,FGNET/images/012A04.JPG,FGNET,012A04.JPG,29.0,Woman,white,fear,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\078A01.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\078A12.JPG,True,0.591009184,0.68,VGG-Face,opencv,cosine,,,,,078A01.JPG,FGNET/images/078A01.JPG,FGNET,078A01.JPG,31.0,Woman,white,sad,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\030A05.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\030A26.JPG,False,0.898626497,0.68,VGG-Face,opencv,cosine,,,,,030A05.JPG,FGNET/images/030A05.JPG,FGNET,030A05.JPG,36.0,Man,asian,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\014A30.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\014A42.JPG,True,0.403249784,0.68,VGG-Face,opencv,cosine,,,,,014A30.JPG,FGNET/images/014A30.JPG,FGNET,014A30.JPG,32.0,Man,middle eastern,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\081A02.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\081A12.JPG,False,0.784739271,0.68,VGG-Face,opencv,cosine,,,,,081A02.JPG,FGNET/images/081A02.JPG,FGNET,081A02.JPG,39.0,Woman,asian,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\054A04.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\054A11.JPG,True,0.651324976,0.68,VGG-Face,opencv,cosine,,,,,054A04.JPG,FGNET/images/054A04.JPG,FGNET,054A04.JPG,38.0,Man,white,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\046A06.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\046A20.JPG,False,0.683951625,0.68,VGG-Face,opencv,cosine,,,,,046A06.JPG,FGNET/images/046A06.JPG,FGNET,046A06.JPG,29.0,Man,latino hispanic,angry,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\031A09.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\031A14.JPG,False,0.933951326,0.68,VGG-Face,opencv,cosine,,,,,031A09.JPG,FGNET/images/031A09.JPG,FGNET,031A09.JPG,29.0,Man,white,sad,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\032A06.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\032A15.JPG,False,0.884328138,0.68,VGG-Face,opencv,cosine,,,,,032A06.JPG,FGNET/images/032A06.JPG,FGNET,032A06.JPG,22.0,Man,white,sad,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\034A02.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\034A39.JPG,False,0.951022634,0.68,VGG-Face,opencv,cosine,,,,,034A02.JPG,FGNET/images/034A02.JPG,FGNET,034A02.JPG,28.0,Man,asian,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\076A07.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\076A10.JPG,True,0.458210941,0.68,VGG-Face,opencv,cosine,,,,,076A07.JPG,FGNET/images/076A07.JPG,FGNET,076A07.JPG,33.0,Woman,white,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A13.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A41.JPG,False,0.715798134,0.68,VGG-Face,opencv,cosine,,,,,027A13.JPG,FGNET/images/027A13.JPG,FGNET,027A13.JPG,23.0,Man,white,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A11.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A16.JPG,True,0.434464422,0.68,VGG-Face,opencv,cosine,,,,,027A11.JPG,FGNET/images/027A11.JPG,FGNET,027A11.JPG,23.0,Man,white,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\061A18.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\061A32.JPG,False,0.903519546,0.68,VGG-Face,opencv,cosine,,,,,061A18.JPG,FGNET/images/061A18.JPG,FGNET,061A18.JPG,21.0,Woman,white,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\005A30.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\005A45.JPG,True,0.50864526,0.68,VGG-Face,opencv,cosine,,,,,005A30.JPG,FGNET/images/005A30.JPG,FGNET,005A30.JPG,25.0,Woman,white,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\002A05.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\002A23.JPG,False,0.85158882,0.68,VGG-Face,opencv,cosine,,,,,002A05.JPG,FGNET/images/002A05.JPG,FGNET,002A05.JPG,28.0,Man,white,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\022A11.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\022A23.JPG,False,0.695215107,0.68,VGG-Face,opencv,cosine,,,,,022A11.JPG,FGNET/images/022A11.JPG,FGNET,022A11.JPG,27.0,Man,latino hispanic,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\005A35.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\005A45.JPG,True,0.443214901,0.68,VGG-Face,opencv,cosine,,,,,005A35.JPG,FGNET/images/005A35.JPG,FGNET,005A35.JPG,27.0,Man,white,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\019A05.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\019A23.JPG,False,0.763871573,0.68,VGG-Face,opencv,cosine,,,,,019A05.JPG,FGNET/images/019A05.JPG,FGNET,019A05.JPG,24.0,Man,white,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\078A08.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\078A15.JPG,False,0.887686461,0.68,VGG-Face,opencv,cosine,,,,,078A08.JPG,FGNET/images/078A08.JPG,FGNET,078A08.JPG,34.0,Man,white,sad,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\009A00.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\009A11.JPG,True,0.636796252,0.68,VGG-Face,opencv,cosine,,,,,009A00.JPG,FGNET/images/009A00.JPG,FGNET,009A00.JPG,31.0,Woman,white,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\033A10.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\033A21.JPG,False,0.803106921,0.68,VGG-Face,opencv,cosine,,,,,033A10.JPG,FGNET/images/033A10.JPG,FGNET,033A10.JPG,31.0,Woman,latino hispanic,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\020A22.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\020A36.JPG,True,0.420909961,0.68,VGG-Face,opencv,cosine,,,,,020A22.JPG,FGNET/images/020A22.JPG,FGNET,020A22.JPG,34.0,Man,latino hispanic,happy,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\040A02.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\040A03b.JPG,False,0.875323139,0.68,VGG-Face,opencv,cosine,,,,,040A02.JPG,FGNET/images/040A02.JPG,FGNET,040A02.JPG,31.0,Man,white,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\011A02.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\011A13.JPG,True,0.557488333,0.68,VGG-Face,opencv,cosine,,,,,011A02.JPG,FGNET/images/011A02.JPG,FGNET,011A02.JPG,24.0,Man,white,neutral,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\015A01.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\015A05.JPG,True,0.620261674,0.68,VGG-Face,opencv,cosine,,,,,015A01.JPG,FGNET/images/015A01.JPG,FGNET,015A01.JPG,22.0,Man,white,fear,opencv,
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\002A07.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\002A21.JPG,True,0.519298816,0.68,VGG-Face,opencv,cosine,,,,,002A07.JPG,FGNET/images/002A07.JPG,FGNET,002A07.JPG,31.0,Woman,white,happy,opencv,
