image1,image2,verified,distance,threshold,model,detector_backend,similarity_metric,facial_areas_img1,facial_areas_img2,time,error,image1_name,Path,Dataset name,Image name,Age,Gender,Race,Emotion,Backend,Notes
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0013.jpg,True,0.3219417118083274,0.68,VGG-Face,opencv,cosine,,,,,Edmund_Stoiber_0004.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0033.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0038.jpg,True,0.6168106732152991,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0033.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0018.jpg,True,0.5010487170337783,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0002.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0018.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0050.jpg,True,0.5297931857569471,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0018.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0007.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0035.jpg,True,0.6544843110330925,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0007.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0009.jpg,False,0.7124291350330547,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0004.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0034.jpg,True,0.655072727245576,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0002.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0033.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0047.jpg,True,0.6294292288572293,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0033.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0027.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0032.jpg,True,0.5826959714116677,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0027.jpg,,,,,,,,,
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Kjell_Magne_Bondevik\Kjell_Magne_Bondevik_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Kjell_Magne_Bondevik\Kjell_Magne_Bondevik_0003.jpg,False,0.7885232449615074,0.68,VGG-Face,opencv,cosine,,,,,Kjell_Magne_Bondevik_0001.jpg,,,,,,,,,
