image1,image2,verified,distance,threshold,model,detector_backend,similarity_metric,facial_areas_img1,facial_areas_img2,time,error,image1_name,path,dataset_name,image_name,face_name_align,race7,race4,gender,age_group,race_scores_fair_7,race_scores_fair_4,gender_scores_fair,age_scores_fair
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Edmund_Stoiber\Edmund_Stoiber_0013.jpg,True,0.3219417118083274,0.68,VGG-Face,opencv,cosine,,,,,Edmund_Stoiber_0004.jpg,lfw_all_subset_photos\Edmund_Stoiber_0004.jpg,lfw_all_subset_photos,Edmund_Stoiber_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Edmund_Stoiber_0004.jpg,Black,Asian,Male,60-69,"[0.06399857 0.421349   0.07493122 0.30230874 0.13224092 0.00209286
 0.00307865]",[0.01486926 0.3335984  0.6373518  0.0141805 ],[0.9984065  0.00159341],"[0.00071097 0.00420946 0.00333023 0.00199852 0.01026562 0.05947694
 0.22145624 0.3915391  0.30701292]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0033.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0038.jpg,True,0.6168106732152991,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0033.jpg,lfw_all_subset_photos\Vladimir_Putin_0033.jpg,lfw_all_subset_photos,Vladimir_Putin_0033.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0033.jpg,East Asian,Asian,Male,40-49,"[0.08655552 0.02627625 0.07056997 0.615192   0.19367297 0.00094479
 0.00678853]",[0.11743028 0.11893878 0.7260405  0.03759046],[0.998382   0.00161807],"[0.00050759 0.00944021 0.05823753 0.11714296 0.21022128 0.24775979
 0.19773418 0.12760958 0.03134685]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0018.jpg,True,0.5010487170337783,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0002.jpg,lfw_all_subset_photos\Jean_Chretien_0002.jpg,lfw_all_subset_photos,Jean_Chretien_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0002.jpg,East Asian,Asian,Male,30-39,"[0.07921906 0.04467108 0.04213372 0.6982694  0.12467518 0.00119415
 0.00983754]",[0.01083177 0.06271556 0.9134971  0.01295553],[0.86375916 0.1362408 ],"[0.00351537 0.03919426 0.05998299 0.23485948 0.23682639 0.18545668
 0.11994284 0.07770552 0.04251649]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0018.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0050.jpg,True,0.5297931857569471,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0018.jpg,lfw_all_subset_photos\Jean_Chretien_0018.jpg,lfw_all_subset_photos,Jean_Chretien_0018.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0018.jpg,East Asian,Asian,Male,40-49,"[2.1613840e-02 4.8163917e-02 3.2231111e-02 7.8734857e-01 1.0632254e-01
 6.5596361e-04 3.6639911e-03]",[0.0036749  0.03584106 0.95100963 0.00947444],[0.99727607 0.00272395],"[0.00032415 0.00695041 0.02319272 0.11959371 0.25702816 0.31433982
 0.17751823 0.07811589 0.02293688]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0007.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0035.jpg,True,0.6544843110330925,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0007.jpg,lfw_all_subset_photos\Jean_Chretien_0007.jpg,lfw_all_subset_photos,Jean_Chretien_0007.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0007.jpg,East Asian,Asian,Male,60-69,"[0.041382   0.15575771 0.04011993 0.6516795  0.10441723 0.00079198
 0.00585172]",[1.0637295e-03 4.7745336e-02 9.5065010e-01 5.4083439e-04],[0.9809437  0.01905627],"[0.00420698 0.02555525 0.01425866 0.03380343 0.05820787 0.13082242
 0.21122226 0.31754395 0.20437914]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0004.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Vladimir_Putin\Vladimir_Putin_0009.jpg,False,0.7124291350330547,0.68,VGG-Face,opencv,cosine,,,,,Vladimir_Putin_0004.jpg,lfw_all_subset_photos\Vladimir_Putin_0004.jpg,lfw_all_subset_photos,Vladimir_Putin_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Vladimir_Putin_0004.jpg,East Asian,Asian,Male,30-39,"[0.00631865 0.08933885 0.07925191 0.62731063 0.1927027  0.00173029
 0.00334692]",[8.210960e-04 4.041680e-01 5.947250e-01 2.858342e-04],[0.93807256 0.06192743],"[0.00056256 0.02717851 0.09797645 0.16617356 0.25188428 0.21121961
 0.12568346 0.08917059 0.03015097]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0034.jpg,True,0.655072727245576,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0002.jpg,lfw_all_subset_photos\Jean_Chretien_0002.jpg,lfw_all_subset_photos,Jean_Chretien_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0002.jpg,East Asian,Asian,Male,30-39,"[0.07921906 0.04467108 0.04213372 0.6982694  0.12467518 0.00119415
 0.00983754]",[0.01083177 0.06271556 0.9134971  0.01295553],[0.86375916 0.1362408 ],"[0.00351537 0.03919426 0.05998299 0.23485948 0.23682639 0.18545668
 0.11994284 0.07770552 0.04251649]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0033.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0047.jpg,True,0.6294292288572293,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0033.jpg,lfw_all_subset_photos\Jean_Chretien_0033.jpg,lfw_all_subset_photos,Jean_Chretien_0033.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0033.jpg,East Asian,Asian,Male,50-59,"[1.2409683e-02 2.5440962e-03 8.4026819e-03 9.3551987e-01 3.9780427e-02
 4.0167826e-05 1.3029987e-03]",[1.1176577e-02 3.9642197e-03 9.8439389e-01 4.6537642e-04],[0.99172723 0.00827283],"[0.00121691 0.0059656  0.01121489 0.02463973 0.10140043 0.24819838
 0.28309014 0.25836256 0.06591147]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0027.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Jean_Chretien\Jean_Chretien_0032.jpg,True,0.5826959714116677,0.68,VGG-Face,opencv,cosine,,,,,Jean_Chretien_0027.jpg,lfw_all_subset_photos\Jean_Chretien_0027.jpg,lfw_all_subset_photos,Jean_Chretien_0027.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jean_Chretien_0027.jpg,East Asian,Asian,Male,40-49,"[3.3538976e-01 3.2768066e-03 1.6077511e-02 5.5455524e-01 4.8789784e-02
 4.0848251e-04 4.1502398e-02]",[0.1246314  0.00831027 0.863972   0.00308635],[0.97199345 0.02800653],"[0.00115353 0.00302012 0.01184043 0.06136955 0.16772461 0.2694926
 0.26449215 0.17747398 0.04343315]"
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Kjell_Magne_Bondevik\Kjell_Magne_Bondevik_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Kjell_Magne_Bondevik\Kjell_Magne_Bondevik_0003.jpg,False,0.7885232449615074,0.68,VGG-Face,opencv,cosine,,,,,Kjell_Magne_Bondevik_0001.jpg,lfw_all_subset_photos\Kjell_Magne_Bondevik_0001.jpg,lfw_all_subset_photos,Kjell_Magne_Bondevik_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Kjell_Magne_Bondevik_0001.jpg,Black,Asian,Male,70+,"[0.00898193 0.35532144 0.08240484 0.23745796 0.25485432 0.02619778
 0.03478174]",[2.0930769e-04 4.4677928e-02 9.5474172e-01 3.7100632e-04],[0.8774794  0.12252057],"[8.0722893e-05 1.6103706e-03 3.6302092e-03 3.4815145e-03 1.4369618e-02
 4.3524340e-02 8.7500028e-02 3.8474429e-01 4.6105894e-01]"
