image1,image2,verified,distance,threshold,model,detector_backend,similarity_metric,facial_areas_img1,facial_areas_img2,time,error,image1_name,path,dataset_name,image_name,face_name_align,race7,race4,gender,age_group,race_scores_fair_7,race_scores_fair_4,gender_scores_fair,age_scores_fair
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\049A04.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\049A17.JPG,False,0.864017052,0.68,VGG-Face,opencv,cosine,,,,,049A04.JPG,FGNET/images/049A04.JPG,FGNET,049A04.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/049A04.JPG,White,White,Female,3-9,"[0.69364333 0.01242148 0.11994558 0.09363593 0.06901721 0.00176002
 0.00957657]",[0.94873166 0.00403633 0.04263734 0.00459465],[0.40005648 0.5999435 ],"[0.02171236 0.40097666 0.06618199 0.0160961  0.03065415 0.04605438
 0.09771985 0.17560424 0.14500037]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A22.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\027A41.JPG,True,0.572647031,0.68,VGG-Face,opencv,cosine,,,,,027A22.JPG,FGNET/images/027A22.JPG,FGNET,027A22.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/027A22.JPG,Latino_Hispanic,White,Female,30-39,"[0.06351873 0.00403064 0.8990647  0.00115555 0.00582824 0.02240933
 0.00399269]",[0.63170767 0.07347599 0.01046521 0.28435117],[0.00105539 0.9989446 ],"[4.1738278e-07 3.9170620e-05 1.6331632e-02 4.1638786e-01 4.9707684e-01
 6.8242610e-02 1.8450385e-03 7.5248368e-05 1.0627519e-06]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\012A04.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\012A36.JPG,False,0.846206304,0.68,VGG-Face,opencv,cosine,,,,,012A04.JPG,FGNET/images/012A04.JPG,FGNET,012A04.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/012A04.JPG,Middle Eastern,White,Male,3-9,"[0.3121359  0.01294355 0.27800107 0.00087988 0.00289798 0.04628385
 0.3468577 ]",[0.64269644 0.08070134 0.02240693 0.25419527],[0.62372786 0.37627217],"[6.33260757e-02 9.03996587e-01 2.77239196e-02 2.37092888e-03
 1.45645044e-03 9.84578044e-04 9.81300836e-05 3.03543802e-05
 1.29506025e-05]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\078A01.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\078A12.JPG,True,0.591009184,0.68,VGG-Face,opencv,cosine,,,,,078A01.JPG,FGNET/images/078A01.JPG,FGNET,078A01.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/078A01.JPG,Middle Eastern,White,Male,0-2,"[2.8644958e-01 1.7942632e-04 2.7265541e-02 4.4928030e-03 1.4684648e-03
 5.5408482e-03 6.7460334e-01]",[9.9486119e-01 1.0600689e-04 3.4059375e-03 1.6268358e-03],[0.9881379  0.01186214],"[6.5907681e-01 3.3582762e-01 2.9363343e-03 3.4534294e-04 5.3500314e-04
 9.5604191e-04 2.7861301e-04 4.0309860e-05 3.9539036e-06]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\030A05.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\030A26.JPG,False,0.898626497,0.68,VGG-Face,opencv,cosine,,,,,030A05.JPG,FGNET/images/030A05.JPG,FGNET,030A05.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/030A05.JPG,Latino_Hispanic,Indian,Female,3-9,"[0.18492714 0.04395189 0.41102418 0.00280546 0.0080489  0.07706159
 0.27218083]",[0.32375705 0.00246785 0.03598345 0.63779163],[0.06015347 0.9398466 ],"[5.7861879e-03 8.5333973e-01 1.3230410e-01 6.8303272e-03 1.4195734e-03
 2.8069044e-04 2.5208101e-05 1.1715418e-05 2.4472872e-06]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\014A30.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\014A42.JPG,True,0.403249784,0.68,VGG-Face,opencv,cosine,,,,,014A30.JPG,FGNET/images/014A30.JPG,FGNET,014A30.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/014A30.JPG,White,White,Male,20-29,"[0.7070539  0.06321895 0.1602785  0.02191571 0.02051385 0.00143119
 0.02558791]",[0.47029135 0.24745432 0.27685    0.00540432],[0.7160858 0.2839142],"[2.7263073e-05 1.0045690e-02 3.8103563e-01 4.8478895e-01 9.8795526e-02
 2.3250340e-02 1.6548216e-03 3.5374044e-04 4.8061047e-05]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\081A02.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\081A12.JPG,False,0.784739271,0.68,VGG-Face,opencv,cosine,,,,,081A02.JPG,FGNET/images/081A02.JPG,FGNET,081A02.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/081A02.JPG,White,White,Male,3-9,"[0.5918501  0.01884273 0.21798725 0.00125546 0.00157693 0.00454331
 0.16394418]",[0.77468485 0.05733218 0.1543498  0.01363315],[0.9918827  0.00811729],"[1.1261836e-01 8.7867963e-01 6.6843135e-03 7.2545180e-04 6.8660430e-04
 4.8926350e-04 9.7223397e-05 1.7448659e-05 1.6014210e-06]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\054A04.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\054A11.JPG,True,0.651324976,0.68,VGG-Face,opencv,cosine,,,,,054A04.JPG,FGNET/images/054A04.JPG,FGNET,054A04.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/054A04.JPG,Middle Eastern,White,Female,3-9,"[3.8771078e-01 3.7769842e-05 8.0305427e-02 2.3013731e-03 9.8148535e-04
 9.8560760e-03 5.1880705e-01]",[9.481460e-01 8.897200e-05 1.804196e-02 3.372306e-02],[0.08769868 0.9123013 ],"[4.5046218e-02 9.2475820e-01 2.6599720e-02 1.7881137e-03 1.0748137e-03
 5.5954460e-04 1.1421597e-04 4.4048524e-05 1.5125522e-05]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\046A06.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\046A20.JPG,False,0.683951625,0.68,VGG-Face,opencv,cosine,,,,,046A06.JPG,FGNET/images/046A06.JPG,FGNET,046A06.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/046A06.JPG,White,White,Male,3-9,"[8.9423174e-01 5.9985574e-05 6.2155612e-03 1.0213021e-03 4.5692886e-04
 1.3740509e-03 9.6640490e-02]",[9.9870580e-01 4.3934159e-04 2.1627656e-04 6.3851330e-04],[0.99616504 0.00383494],"[1.5476543e-03 7.5459075e-01 2.3764454e-01 5.2944352e-03 6.7262613e-04
 2.2831741e-04 1.7597853e-05 3.6783770e-06 3.3685080e-07]"
C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\031A09.JPG,C:\INDRES\DTU\Semester 3\Special course\Datasets\FGNET\FGNET\images\031A14.JPG,False,0.933951326,0.68,VGG-Face,opencv,cosine,,,,,031A09.JPG,FGNET/images/031A09.JPG,FGNET,031A09.JPG,/zhome/15/a/181503/Indre/Special_course/Datasets/FGNET/images/031A09.JPG,Latino_Hispanic,Black,Male,10-19,"[0.11287694 0.09935389 0.5728883  0.09343282 0.08696763 0.0213019
 0.01317851]",[0.01532648 0.37193793 0.3454998  0.26723576],[0.9951608  0.00483912],"[0.00329584 0.26632616 0.27839315 0.12465923 0.12160818 0.16043794
 0.03682291 0.00766398 0.00079264]"
