Image Path,Identity,Target_X,Target_Y,Target_W,Target_H,Source_X,Source_Y,Source_W,Source_H,VGG-Face_cosine,Notes,Image Path Image,Identity Image,Match
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,68.0,67.0,115.0,115.0,66.0,65.0,118.0,118.0,0.4733054235928469,,Adam_Sandler,Adam_Sandler,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,66.0,65.0,118.0,118.0,68.0,67.0,115.0,115.0,0.4733054235928469,,Adam_Sandler,Adam_Sandler,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0004.jpg,69.0,69.0,111.0,111.0,66.0,68.0,116.0,116.0,0.383970795292947,,Aleksander_Kwasniewski,Aleksander_Kwasniewski,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0004.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Aleksander_Kwasniewski_0002.jpg,66.0,68.0,116.0,116.0,69.0,69.0,111.0,111.0,0.383970795292947,,Aleksander_Kwasniewski,Aleksander_Kwasniewski,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0003.jpg,67.0,66.0,114.0,114.0,69.0,68.0,113.0,113.0,0.2798158868071547,,Ali_Naimi,Ali_Naimi,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0002.jpg,65.0,67.0,121.0,121.0,69.0,68.0,113.0,113.0,0.3190185057892575,,Ali_Naimi,Ali_Naimi,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0005.jpg,70.0,69.0,113.0,113.0,69.0,68.0,113.0,113.0,0.4255571238613036,,Ali_Naimi,Ali_Naimi,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0006.jpg,71.0,68.0,112.0,112.0,69.0,68.0,113.0,113.0,0.4440378089295511,,Ali_Naimi,Ali_Naimi,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0004.jpg,71.0,69.0,111.0,111.0,69.0,68.0,113.0,113.0,0.4997072980346982,,Ali_Naimi,Ali_Naimi,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Ali_Naimi_0003.jpg,67.0,66.0,114.0,114.0,65.0,67.0,121.0,121.0,0.1780455307019818,,Ali_Naimi,Ali_Naimi,True
