Image Path,Identity,Target_X,Target_Y,Target_W,Target_H,Source_X,Source_Y,Source_W,Source_H,VGG-Face_cosine,Notes
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,77,113,96,96,77,113,96,96,2.220446049250313e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,69,69,114,114,77,113,96,96,0.35317394237340904,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Rubens_Barrichello_0005.jpg,72,71,110,110,77,113,96,96,0.6706292588446305,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,69,69,114,114,69,69,114,114,-2.220446049250313e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,77,113,96,96,69,69,114,114,0.35317394237340904,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Erik_Morales_0001.jpg,69,67,113,113,69,69,114,114,0.610136228652636,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Harbhajan_Singh_0001.jpg,67,67,115,115,69,69,114,114,0.6193319418783431,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,0,0,250,250,0,0,250,250,1.1102230246251565e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,69,67,113,113,0,0,250,250,0.6082089258720945,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Marlene_Weingartner_0001.jpg,0,0,250,250,0,0,250,250,0.6687611350716418,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,69,67,113,113,69,67,113,113,0.0,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,0,0,250,250,69,67,113,113,0.6082089258720945,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,70,69,112,112,70,69,112,112,0.0,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,68,67,115,115,70,69,112,112,0.58941709678518,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,66,65,118,118,70,69,112,112,0.5897768139954579,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Monica_Bellucci_0001.jpg,68,68,117,117,70,69,112,112,0.6464558844481572,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0019.jpg,69,69,114,114,70,69,112,112,0.6712973107789268,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,66,65,118,118,66,65,118,118,-2.220446049250313e-16,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,68,67,115,115,66,65,118,118,0.4733054235928469,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,70,69,112,112,66,65,118,118,0.5897768139954579,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jeffrey_Scott_Postell_0002.jpg,68,68,114,114,66,65,118,118,0.6683531888889191,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,68,67,115,115,68,67,115,115,0.0,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,66,65,118,118,68,67,115,115,0.4733054235928469,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,70,69,112,112,68,67,115,115,0.58941709678518,
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Monica_Bellucci_0001.jpg,68,68,117,117,68,67,115,115,0.6313233624046561,
