image1,image2
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Akbar_Hashemi_Rafsanjani\Akbar_Hashemi_Rafsanjani_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alec_Baldwin\Alec_Baldwin_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0002.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0003.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Alexander_Losyukov\Alexander_Losyukov_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Allison_Janney\Allison_Janney_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Allison_Janney\Allison_Janney_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Amanda_Coetzer\Amanda_Coetzer_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Amanda_Coetzer\Amanda_Coetzer_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Andrei_Mikhnevich\Andrei_Mikhnevich_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Andrei_Mikhnevich\Andrei_Mikhnevich_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Andy_Hebb\Andy_Hebb_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Andy_Hebb\Andy_Hebb_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0002.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0003.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0004.jpg
C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0001.jpg,C:/INDRES/DTU/Semester 3/Special course/Datasets/lfw_subset\Angelina_Jolie\Angelina_Jolie_0005.jpg
